RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024,9/30/2024
102001,0,United States,country,,255000,264900,269900,279000,281000,280000,279900,279000,279900,279000,277900,275000,275000,279900,289000,295000,299700,299000,298000,294000,292500,289900,289000,284900,280900,289900,298000,299000,300000,312900,315000,315000,315900,315000,310000,304900,300000,319000,325000,335000,340000,343220,340000,339000,340000,339900,335000,325900,330000,349900,360000,379000,389900,395000,395000,389900,389000,381000,375000,371200,369500,375000,380000,394322,399000,399500,399000,395000,395000,389900,385000,379000,379000,385000,394000,399900,407900,409900,400000,399900,399900
394913,1,"New York, NY",msa,NY,489000,505000,515000,519000,529900,530000,525000,524800,529000,529000,529000,525000,520000,529000,535000,549000,549000,549000,545000,539000,549000,549000,549000,549900,549000,549000,559000,559900,559000,565000,575000,584900,595000,599000,599900,599900,590000,595000,599000,599000,598000,589900,579900,569000,575000,579000,575000,575000,580000,598650,599000,613000,620000,620000,599990,599000,599999,619999,619000,619000,620000,635000,649900,659000,679000,679000,679000,670000,689000,695000,695000,689900,685000,699000,699000,700000,719999,719000,709000,699990,719900
753899,2,"Los Angeles, CA",msa,CA,709000,725000,730000,750000,750000,750000,749000,729900,729900,725000,719000,715000,699900,719900,729000,749000,750000,759800,759900,758000,759000,759000,769000,769000,765000,779894,795000,789000,799000,819000,830000,829000,829900,835000,849982,849000,849000,849888,850000,869000,875000,880000,869000,850000,850000,850000,850000,849999,869900,895000,899888,920000,929900,925000,907000,899000,899000,895000,889000,879000,879900,899000,900000,949000,979000,998000,999900,999000,1000000,999700,998000,989000,988000,999000,999900,1049000,1089000,1099000,1098000,1075000,1060000
394463,3,"Chicago, IL",msa,IL,269900,289000,294900,299900,307000,299900,299000,294900,294450,289000,282000,279000,279000,294900,299900,309000,310000,309400,299995,299000,298000,289900,285000,279900,280000,295000,299900,299000,299900,305000,309000,309000,309900,300000,299900,294900,294900,309900,309999,310000,315000,315000,309000,299900,299900,297990,289900,279900,285000,299000,309000,319900,325000,325000,324900,319000,316000,309900,299900,299000,299000,308500,319000,329900,339600,340000,340000,339900,339000,330000,325000,319900,320000,330000,339900,350000,359900,359900,355000,349900,350000
394514,4,"Dallas, TX",msa,TX,318000,325000,325990,334500,334900,329000,324605,319000,319900,317998,315000,315000,310000,316000,324900,330000,330500,329900,325000,319999,319900,319900,319000,315000,310000,315900,319900,320000,325000,331900,334900,332900,335000,330000,329800,326000,329878,335000,342900,350000,360000,369000,374488,369990,375000,375000,379900,380000,385000,399000,400000,423000,434990,440000,439900,425000,420000,412000,400000,399000,395000,396000,409450,429990,440000,445000,440000,435000,430000,425000,424067,418000,410000,415000,424900,434000,439900,440000,435000,429000,428000
394692,5,"Houston, TX",msa,TX,289500,294900,299000,299900,299999,299900,299000,294500,294995,289900,290000,289900,285000,294995,298000,299900,299999,299900,297000,289999,289950,288000,285000,285000,280000,287999,295000,296500,299900,306997,305000,309900,315000,314925,313000,315000,312998,320000,320000,329000,334000,335000,335000,330000,335000,334700,330000,329000,325000,330000,345950,355000,368000,369500,365000,359000,350000,349990,349000,342375,340000,344900,349900,359900,365000,369000,369000,360000,359900,355000,350000,350000,349950,350000,359000,365000,367000,365000,365999,365000,359900
395209,6,"Washington, DC",msa,VA,392000,400000,424900,435000,439900,444900,435000,424900,425000,420000,415000,399900,399000,418000,430000,444900,449900,449900,444900,434900,446450,440000,438900,429000,425000,445000,459900,460000,465000,475000,474900,464900,462637,455610,449900,435900,430000,445000,455000,475000,475000,479900,470000,465000,475000,475000,459000,439900,449900,479000,499999,525000,539000,535250,525000,519900,525000,520000,509900,499500,499900,519900,550000,559990,569900,575000,569000,550000,569000,559900,549000,529900,530000,549900,575000,598250,599000,595000,579000,565000,575000
394974,7,"Philadelphia, PA",msa,PA,219000,225000,232500,244900,250000,255000,250000,249900,249900,249000,242999,235000,230000,238000,249000,259900,269900,270000,269900,265000,269900,269900,264900,254900,250000,264900,269900,272999,284500,294900,295000,289900,289000,289000,285000,275000,269900,275000,280000,299000,299900,299900,299000,295000,297900,290000,284900,274900,275000,283750,299000,310000,319000,320000,315000,309900,309900,304900,299900,289990,290000,295000,299999,315000,324900,325000,319999,319900,325000,325000,319000,300000,300000,315000,325000,346200,359000,364900,355000,350000,350000
394856,8,"Miami, FL",msa,FL,364900,365900,369000,369900,374300,372900,369900,365000,369000,365000,369000,369500,360000,360000,365000,369000,371500,375000,375000,375000,374900,374900,375000,375000,374900,373200,375000,375000,370000,374900,369999,374500,375000,379900,379000,375000,372000,375000,379900,389900,399000,405000,,425000,425000,430000,440000,449000,449900,460000,480000,500000,530000,549000,550000,539900,549000,549000,549000,549000,539000,539900,545000,550000,550000,550000,550000,550000,550000,550000,550000,549900,535000,529000,525000,520000,520000,520000,515000,514900,510000
394347,9,"Atlanta, GA",msa,GA,272000,279900,289900,299900,300000,299000,292000,285000,289000,280000,279999,279000,274900,284900,291400,300000,307900,305720,299900,299000,298000,293000,292900,289900,289000,295000,299000,299000,300000,310000,315000,315000,319000,310000,308000,305000,309914,315000,325000,340000,349900,349999,349900,346750,349999,349900,349900,342900,345600,350000,359900,376250,389900,396000,389900,379900,375000,374900,365000,359900,355000,359900,369900,379900,390000,399000,395000,389900,389000,384000,375000,374900,374900,375000,380000,389000,399000,398988,395000,390000,389125
394404,10,"Boston, MA",msa,MA,489000,499900,519900,525000,529000,523000,499000,489900,499900,499900,499000,499000,495000,499999,525000,549000,549900,549000,539000,520000,534900,535000,535000,530000,529000,549900,560000,559900,579000,585000,585000,579900,595000,599000,595000,595000,590000,609000,609999,624900,630000,629900,599900,599000,619900,619900,599999,622000,649900,674000,684000,689000,699900,699000,695000,675000,699000,699000,699000,699000,700000,739450,749900,759000,789000,779900,775000,749900,759900,749000,739900,749000,739900,755000,775000,789900,799000,779000,769000,749900,769000
394976,11,"Phoenix, AZ",msa,AZ,315000,322500,325000,325000,329000,325000,320000,319800,319900,319900,316000,322900,324000,325000,326500,330000,334900,335000,334500,333000,338900,339000,344900,348000,349888,355000,350000,349000,349900,357900,360000,365000,365000,365000,369000,374900,379000,384900,394000,400000,,425000,430000,439250,445900,450000,458800,459900,469900,475000,485000,499999,515000,515000,,490000,479999,475000,465000,459900,465000,474900,479900,492500,499900,500000,509000,504450,510000,514990,505000,499900,507927,513000,514999,520000,515000,510000,499999,499000,499900
395057,12,"San Francisco, CA",msa,CA,809000,885000,899000,939000,949000,920000,895000,869000,899000,895000,875000,848444,849000,889900,915000,929888,948888,925000,895000,879000,930000,925000,899000,896944,895000,949000,965000,949800,995000,999000,998000,998000,998500,998000,995000,950000,975000,989000,995000,999000,999000,998000,989000,975000,984000,987000,949000,899000,928000,990000,1052000,1095000,1095000,1095000,1035000,999000,1049000,1000000,995000,949000,949000,995000,1025000,1089000,1098000,1068500,999000,995000,1045000,1016500,995000,930000,930000,995000,999000,999888,1050000,999000,980000,959000,995214
395025,13,"Riverside, CA",msa,CA,374900,379000,380000,389000,389900,390450,389999,389000,389000,385000,387830,385000,385000,389900,395000,398000,399000,399900,399900,399000,395000,397500,395000,395000,397789,399900,404250,399999,410000,419900,429900,439000,440000,449000,450000,450000,455000,465000,470000,489894,499000,499900,510000,510000,520000,529000,535000,530000,535000,545000,560000,579000,585000,580000,577500,570000,565000,559000,550000,550000,550000,549990,549990,555000,568000,569000,565000,559905,570000,575000,575000,570000,579000,585000,589880,597250,599000,599000,599000,595000,594900
394532,14,"Detroit, MI",msa,MI,174900,179900,194900,211000,220500,225000,221000,215000,210000,200000,199000,189900,189900,189900,200000,220000,229900,230000,229900,224900,219500,210000,200000,196000,189000,190000,205000,217500,228894,239000,239900,234900,229350,225000,219900,209900,210000,224000,229000,235000,245000,249000,241000,235000,225000,220000,209000,199000,189900,195000,210000,229900,249000,254000,250000,249000,239900,230000,219999,209000,204900,200000,214900,229900,239000,241450,245000,245000,239000,230000,224888,215000,209900,210000,220000,234900,249900,249945,251950,250000,250000
395078,15,"Seattle, WA",msa,WA,450000,485000,499950,509995,525000,525000,519000,500000,515000,515000,499999,499950,500000,530000,549000,564950,559950,550000,549950,539000,549950,549950,545000,534737,529950,558000,569950,565000,580000,595000,595000,590000,595000,580000,569900,559000,560000,585000,599000,625000,629950,645000,629000,620000,635000,625000,600000,589000,625000,675000,715000,750000,750000,750000,739925,719950,715000,699000,679900,659950,650000,679250,700000,735650,749950,749000,749000,729950,739000,725000,695000,675000,675000,699950,729000,740000,750000,750000,749000,738250,733000
394865,16,"Minneapolis, MN",msa,MN,305000,319900,319900,319900,315000,314900,309675,300000,300000,299989,299900,309900,319900,325000,329900,328000,325000,320000,319900,315000,314900,309900,314999,319000,320000,329900,329900,329900,330000,333900,329900,329000,325000,319000,314900,314900,315000,325000,327400,325000,327777,335000,330000,325000,325000,320000,312500,299900,309900,325000,345000,350000,360000,366450,365000,359900,355000,349900,344900,339900,339000,349900,359900,369900,385000,394900,399000,389900,380000,370000,364900,355000,350000,360000,375000,384000,390000,390000,389900,385000,379900
395056,17,"San Diego, CA",msa,CA,639000,655990,664450,673750,675000,675000,668000,655000,650000,649000,649000,649000,649000,649900,659000,679000,684900,679000,677000,675000,679900,675000,679000,679450,669900,679900,695000,674500,699000,719000,719900,700000,699999,699949,699000,714900,700000,724900,730000,750000,759560,775000,775000,779900,775000,789900,788944,785000,799000,828000,849900,880000,899000,899000,875000,850000,850000,850000,850000,850000,875000,893250,899000,930000,949000,959000,970000,950000,949900,949000,925000,929000,919500,933000,949900,980000,985000,975000,960000,960000,949900
395148,18,"Tampa, FL",msa,FL,239999,244900,246900,249900,254998,252000,249900,249900,249000,245000,247900,247000,245000,249000,249900,259900,264900,265000,264900,260000,259999,258900,259900,259900,259800,259900,263000,265000,269000,272000,271500,275000,279900,280000,279800,275900,275000,279000,289900,300000,,319000,329000,329900,335000,339900,349900,349900,352000,365000,375000,399000,410000,419900,419600,410000,409000,399900,398850,395000,389900,388000,394900,399500,405000,415000,415000,414900,417000,414999,409000,400000,400000,400000,405000,414500,415000,415000,410000,408900,400000
