RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024
102001,0,United States,country,,215000,217000,224500,227000,231700,239000,235000,230000,225000,224000,225000,223000,220000,220500,230000,235000,245000,250000,248900,245000,240000,240000,240000,241500,235800,240000,250000,251000,248400,259700,270000,273000,275000,275000,276000,275000,270000,275000,285000,299900,305000,315000,315000,311000,310000,310000,314900,310000,305000,315000,330000,344500,350000,350000,335900,330000,325000,319900,310000,305000,300000,315000,325000,332900,345000,350000,347500,343500,335000,330000,325000,320000,324000,335000,345000,350000,360000,369900,362000,360000
394913,1,"New York, NY",msa,NY,375000,365000,380000,378000,389995,405000,412000,410000,395000,380000,385000,379000,380000,380000,370000,380000,390000,414046,415000,415000,400000,399000,400000,405000,410000,400000,408000,422500,424900,431000,435000,446462,450000,456300,467500,460000,465000,465000,465000,480000,485000,510000,520000,522500,510500,505000,500000,500000,500000,500000,510000,515000,530000,557000,562837,555000,539672,525000,520000,505000,520000,510000,510000,529950,545100,565000,576500,600000,575000,555000,565000,567600,568800,560000,570750,580000,615000,640000,649900,645000
753899,2,"Los Angeles, CA",msa,CA,589000,613000,620000,621000,638000,643750,637000,635000,620000,620000,625000,600000,600000,610000,627000,638000,635000,645000,652500,636500,640000,639000,638000,649000,645000,650000,670000,650000,645000,675000,700000,720000,730000,730000,725000,725000,720000,742000,770000,800000,815000,820000,820000,820000,820000,820000,825000,840000,825500,850000,880000,905000,905000,900000,865000,857000,845000,835000,820000,800000,805000,823000,840000,850000,860000,880000,888000,894000,880000,890000,900000,870000,865000,915000,916750,950000,970000,960000,951000,935000
394463,3,"Chicago, IL",msa,IL,208000,210000,220000,230000,235000,243000,234900,225000,219000,213000,215000,210000,206000,210000,225000,232900,240000,245000,238000,235000,222500,220000,222000,217000,214000,218000,243000,252000,244900,249000,260000,264250,257000,255000,250000,249000,242500,244000,261375,271750,282000,288000,280000,275000,265000,265000,261000,260000,257086,260000,269000,290000,299250,305000,289500,280000,273000,265000,264000,257000,252500,260000,280000,289000,300000,315000,309000,305000,295000,283000,285000,280000,280000,285000,300000,315000,325000,337500,330000,325000
394514,4,"Dallas, TX",msa,TX,235000,248900,258000,258000,267500,270000,264500,256000,249225,247500,246000,249506,237500,247000,258000,262900,274900,275000,269900,268000,260000,260000,259000,264900,256000,261000,270000,280000,270000,284027,295000,290000,292000,296000,295000,295000,285000,309825,320000,330000,350000,355000,351500,350000,349000,350000,350000,355000,350000,368000,381000,411078,422000,418676,408000,395700,385000,380000,368000,355000,350000,367500,370000,382000,390650,400000,397706,387000,379900,375000,375000,367500,368000,380000,390000,400000,405000,400000,396000,390000
394692,5,"Houston, TX",msa,TX,202800,211100,219000,225000,230000,230000,230000,222500,215000,216000,216000,219000,210000,215000,225000,230000,238000,240000,235000,234000,226520,225000,224999,235000,220000,228000,235000,237500,235000,249945,260000,255000,250000,255000,260000,260000,250000,265000,282000,289500,297000,305000,300000,296000,290000,292000,300000,304000,292000,311900,315000,327000,340000,340000,332000,320000,320000,308000,305000,301000,294000,300500,310005,319900,325000,332000,,,318000,315000,315000,310000,306000,325000,322000,340000,344000,348250,345000,328000
395209,6,"Washington, DC",msa,VA,354900,362000,375750,396000,405000,406500,399000,390000,370000,374900,375000,380000,360000,372750,385000,405000,409900,415000,410000,400000,382000,390000,392750,395000,375000,392000,420000,430000,425000,430000,450000,445000,435000,436000,435000,427000,410000,412000,446000,470000,485000,490000,480000,465000,450000,464950,453000,450000,430000,445500,485000,519000,529000,520000,500000,490000,470000,475000,465000,445000,440000,473500,480000,520000,538500,539000,525526,520000,490000,503000,495000,490000,469950,510000,539000,567000,578000,575000,564500,555000
394974,7,"Philadelphia, PA",msa,PA,190000,189250,205000,206500,220000,235000,230000,230000,216000,205000,214000,205000,195000,200000,210000,219350,229900,250000,245000,243000,225000,221900,230000,225000,220000,217800,232000,255000,240000,250000,267000,270000,265000,259000,260000,259900,250000,245000,253000,261150,275000,295000,299900,297500,280000,275000,280000,270000,260000,254000,266000,285000,302200,325000,315000,312500,300000,290000,290000,287000,272300,271001,290000,295000,315000,335000,335000,331400,317750,317600,315000,311000,300000,300000,315000,325000,340000,360000,355000,360000
394856,8,"Miami, FL",msa,FL,247000,250000,257000,255000,260000,270000,260000,259000,259500,260000,260000,260000,250000,257000,267000,270000,272000,280000,280000,275000,273000,275000,278000,275000,272000,279000,290000,295000,295000,300000,310000,315250,310000,313000,315000,320000,320000,325000,330000,339000,345000,352500,355000,352000,348500,350000,360000,365000,367000,381000,390000,395000,410000,410000,400000,400000,400775,400000,399900,390000,400000,407000,419900,427000,433875,442500,435000,437750,445950,440000,432000,439700,435000,464950,480000,470000,480000,495000,472000,465000
394347,9,"Atlanta, GA",msa,GA,190000,200000,210000,218950,225000,225000,222900,200000,215000,210000,205900,206450,202500,207000,220000,225000,235000,239294,235000,227000,225400,222900,221132,228000,219900,229000,242100,253000,243000,249900,262000,262000,260000,261000,260000,260000,256500,264062,275000,291000,300000,310000,312500,308000,313500,322500,320000,321000,310000,322900,335000,350000,360000,361000,355000,341000,337000,335000,330000,325000,315500,331000,340000,350000,358600,369850,365000,359950,355000,350000,344000,337500,330000,354900,361000,365000,376450,385000,375000,365000
394404,10,"Boston, MA",msa,MA,400000,385000,402000,430000,440000,465000,460000,450000,415000,416500,425000,410000,420000,408500,420000,430000,460000,477000,470000,465000,437500,435000,440000,445000,441000,430000,467000,485000,475500,500000,510000,523500,515000,500000,500000,505000,495000,500000,520000,550000,575000,600000,595000,585000,555000,550000,560000,555000,540000,540000,581850,620000,639500,675000,648000,629900,600000,585000,585000,560000,550000,545000,590000,617750,636000,680000,680000,655000,625000,630000,625000,600000,624000,600000,650000,650000,685000,720000,700000,680000
