city,state_id,state_name,county_name,lat,lng,population,density
New York,NY,New York,Queens,40.6943,-73.9249,18908608,11080.3
Los Angeles,CA,California,Los Angeles,34.1141,-118.4068,11922389,3184.7
Chicago,IL,Illinois,Cook,41.8375,-87.6866,8497759,4614.5
Miami,FL,Florida,Miami-Dade,25.784,-80.2101,6080145,4758.9
Houston,TX,Texas,Harris,29.786,-95.3885,5970127,1384
Dallas,TX,Texas,Dallas,32.7935,-96.7667,5830932,1478.7
Philadelphia,PA,Pennsylvania,Philadelphia,40.0077,-75.1339,5683533,4578.4
Atlanta,GA,Georgia,Fulton,33.7628,-84.422,5180179,1412.3
Washington,DC,District of Columbia,District of Columbia,38.9047,-77.0163,5116378,4235.7
Boston,MA,Massachusetts,Suffolk,42.3188,-71.0852,4328315,5319
Phoenix,AZ,Arizona,Maricopa,33.5722,-112.0892,4064275,1198.9
Detroit,MI,Michigan,Wayne,42.3834,-83.1024,3725908,1772.2
Seattle,WA,Washington,King,47.6211,-122.3244,3561397,3376.6
San Francisco,CA,California,San Francisco,37.7558,-122.4449,3364979,7030.7
San Diego,CA,California,San Diego,32.8313,-117.1222,3046560,1639.7
Minneapolis,MN,Minnesota,Hennepin,44.9635,-93.2678,2892569,3052.2
Tampa,FL,Florida,Hillsborough,27.9945,-82.4447,2861173,1320.9
Brooklyn,NY,New York,Kings,40.6501,-73.9496,2736074,15200.5
Denver,CO,Colorado,Denver,39.762,-104.8758,2687458,1792.9
Queens,NY,New York,Queens,40.7498,-73.7976,2405464,8503.7
Riverside,CA,California,Riverside,33.9381,-117.3949,2332836,1503.9
Las Vegas,NV,Nevada,Clark,36.2333,-115.2654,2248047,1755.1
Baltimore,MD,Maryland,Baltimore,39.3051,-76.6144,2196524,2788.2
St. Louis,MO,Missouri,St. Louis,38.6359,-90.2451,2130881,1864.3
Portland,OR,Oregon,Multnomah,45.5371,-122.65,2095808,1868.8
San Antonio,TX,Texas,Bexar,29.4632,-98.5238,2058444,1118.8
Sacramento,CA,California,Sacramento,38.5677,-121.4685,1957738,2049.4
Austin,TX,Texas,Travis,30.3005,-97.7522,1905945,1154.1
Orlando,FL,Florida,Orange,28.4773,-81.337,1882705,1070.2
San Juan,PR,Puerto Rico,San Juan,18.3985,-66.061,1814587,3128.8
San Jose,CA,California,Santa Clara,37.3012,-121.848,1771413,2172.6
Pittsburgh,PA,Pennsylvania,Allegheny,40.4397,-79.9763,1749091,2118.5
Indianapolis,IN,Indiana,Marion,39.7771,-86.1458,1729849,941.8
Manhattan,NY,New York,New York,40.7834,-73.9662,1694263,28653.9
Cincinnati,OH,Ohio,Hamilton,39.1413,-84.506,1692702,1530.6
Kansas City,MO,Missouri,Jackson,39.1238,-94.5541,1689556,620.7
Cleveland,OH,Ohio,Cuyahoga,41.4764,-81.6805,1680247,1839.6
Columbus,OH,Ohio,Franklin,39.9862,-82.9855,1572546,1581
Bronx,NY,New York,Bronx,40.8501,-73.8662,1472654,13356.3
Virginia Beach,VA,Virginia,Virginia Beach,36.7335,-76.0435,1443020,722.4
Charlotte,NC,North Carolina,Mecklenburg,35.2083,-80.8303,1427444,1089.8
Milwaukee,WI,Wisconsin,Milwaukee,43.0642,-87.9675,1290940,2301.6
Providence,RI,Rhode Island,Providence,41.823,-71.4187,1290271,3979.7
Jacksonville,FL,Florida,Duval,30.3322,-81.6749,1288298,491
Nashville,TN,Tennessee,Davidson,36.1715,-86.7842,1177657,555.4
Salt Lake City,UT,Utah,Salt Lake,40.7776,-111.9311,1173879,700.8
Raleigh,NC,North Carolina,Wake,35.8324,-78.6429,1163152,1210
Richmond,VA,Virginia,Richmond,37.5295,-77.4756,1073223,1463.7
Memphis,TN,Tennessee,Shelby,35.1087,-89.9663,1037998,824.8
Oklahoma City,OK,Oklahoma,Oklahoma,35.4676,-97.5136,998806,433.6
Hartford,CT,Connecticut,Capitol,41.7661,-72.6834,974684,2689.4
Louisville,KY,Kentucky,Jefferson,38.1663,-85.6485,963812,923.1
Buffalo,NY,New York,Erie,42.9018,-78.8487,944589,2645.7
New Orleans,LA,Louisiana,Orleans,30.0687,-89.9288,932759,866.5
Fort Worth,TX,Texas,Tarrant,32.7817,-97.3474,924663,1021.2
Bridgeport,CT,Connecticut,Greater Bridgeport,41.1918,-73.1954,908251,3568.4
Tucson,AZ,Arizona,Pima,32.1541,-110.8787,878320,863.9
El Paso,TX,Texas,El Paso,31.8476,-106.43,865270,1011.4
Omaha,NE,Nebraska,Douglas,41.2627,-96.0529,821345,1323.9
McAllen,TX,Texas,Hidalgo,26.2252,-98.2467,797341,884.4
Birmingham,AL,Alabama,Jefferson,33.5279,-86.7971,782111,526.4
Albuquerque,NM,New Mexico,Bernalillo,35.1054,-106.6465,769986,1159.8
Tulsa,OK,Oklahoma,Tulsa,36.1283,-95.9042,731743,804.2
Fresno,CA,California,Fresno,36.783,-119.7939,725276,1805.3
Charleston,SC,South Carolina,Charleston,32.8168,-79.9687,706884,503.3
Rochester,NY,New York,Monroe,43.168,-77.6162,699921,2278
Dayton,OH,Ohio,Montgomery,39.7805,-84.2003,668825,950
Cape Coral,FL,Florida,Lee,26.6443,-81.9957,654405,724.2
Mission Viejo,CA,California,Orange,33.6096,-117.6551,642211,2038.4
Colorado Springs,CO,Colorado,El Paso,38.8674,-104.7605,638194,917.5
Baton Rouge,LA,Louisiana,East Baton Rouge,30.442,-91.1311,635671,1001.4
Allentown,PA,Pennsylvania,Lehigh,40.5961,-75.4756,627863,2754.2
Ogden,UT,Utah,Weber,41.2279,-111.9682,622918,1215.9
Provo,UT,Utah,Utah,40.2457,-111.6457,619218,1059.2
Knoxville,TN,Tennessee,Knox,35.9692,-83.9496,615829,750.3
Grand Rapids,MI,Michigan,Kent,42.9619,-85.6562,609023,1708.2
Columbia,SC,South Carolina,Richland,34.0378,-80.9036,604065,383.1
Albany,NY,New York,Albany,42.6664,-73.7987,590694,1798.3
Bakersfield,CA,California,Kern,35.3529,-119.0359,571992,1038.8
New Haven,CT,Connecticut,South Central Connecticut,41.3113,-72.9246,565572,2804.1
Des Moines,IA,Iowa,Polk,41.5725,-93.6105,548926,933.4
Akron,OH,Ohio,Summit,41.0798,-81.5219,541945,1186.2
Palm Bay,FL,Florida,Brevard,27.9631,-80.6593,534348,542.9
Concord,CA,California,Contra Costa,37.9722,-122.0016,531175,1579.4
Wichita,KS,Kansas,Sedgwick,37.6895,-97.3443,509003,938.6
Mesa,AZ,Arizona,Maricopa,33.4015,-111.7178,503390,1379.8
Harrisburg,PA,Pennsylvania,Dauphin,40.2752,-76.8843,498329,2380.4
Staten Island,NY,New York,Richmond,40.5834,-74.1496,495747,3286.2
Toledo,OH,Ohio,Lucas,41.6638,-83.5827,493302,1295
Worcester,MA,Massachusetts,Worcester,42.2705,-71.8079,486486,2110.2
Long Beach,CA,California,Los Angeles,33.7977,-118.167,462293,3522.5
Port St. Lucie,FL,Florida,St. Lucie,27.2796,-80.3884,462047,681.8
Little Rock,AR,Arkansas,Pulaski,34.7256,-92.3577,459409,649.4
Reno,NV,Nevada,Washoe,39.5497,-119.8483,457702,940.5
Spokane,WA,Washington,Spokane,47.6671,-117.433,456219,1279.8
Madison,WI,Wisconsin,Dane,43.0822,-89.393,451652,1268.3
Boise,ID,Idaho,Ada,43.6005,-116.2308,449776,1072.4
Bonita Springs,FL,Florida,Lee,26.3558,-81.7859,449527,542.2
Denton,TX,Texas,Denton,33.2175,-97.1418,438492,567.5
