,RegionID,SizeRank,RegionName,RegionType,StateName,Date,Value
7,394974,7,"Philadelphia, PA",msa,PA,2000-01-31,121472.00666303452
27,394982,27,"Pittsburgh, PA",msa,PA,2000-01-31,85126.3919313678
69,394318,70,"Allentown, PA",msa,PA,2000-01-31,115581.37626906132
96,394666,99,"Harrisburg, PA",msa,PA,2000-01-31,115828.35040645389
98,395075,101,"Scranton, PA",msa,PA,2000-01-31,84874.49168594525
119,395244,122,"York, PA",msa,PA,2000-01-31,117502.6392394664
125,395015,128,"Reading, PA",msa,PA,2000-01-31,103485.32807289057
180,394572,184,"Erie, PA",msa,PA,2000-01-31,87469.32375275336
330,394321,340,"Altoona, PA",msa,PA,2000-01-31,86839.54889305138
348,395225,359,"Williamsport, PA",msa,PA,2000-01-31,99938.97339141204
371,394630,382,"Gettysburg, PA",msa,PA,2000-01-31,100299.65151626464
418,394847,431,"Meadville, PA",msa,PA,2000-01-31,57485.62229962313
426,394395,439,"Bloomsburg, PA",msa,PA,2000-01-31,104899.39063366065
437,394541,450,"DuBois, PA",msa,PA,2000-01-31,55476.187808294046
579,394933,597,"Oil City, PA",msa,PA,2000-01-31,48532.13669297184
902,394974,7,"Philadelphia, PA",msa,PA,2000-02-29,121741.99346013708
922,394982,27,"Pittsburgh, PA",msa,PA,2000-02-29,85227.68694442016
964,394318,70,"Allentown, PA",msa,PA,2000-02-29,115940.34079758932
991,394666,99,"Harrisburg, PA",msa,PA,2000-02-29,116109.68477311154
993,395075,101,"Scranton, PA",msa,PA,2000-02-29,85190.46573673951
1014,395244,122,"York, PA",msa,PA,2000-02-29,117764.89432903608
1020,395015,128,"Reading, PA",msa,PA,2000-02-29,103750.01769171486
1075,394572,184,"Erie, PA",msa,PA,2000-02-29,87636.95051856227
1225,394321,340,"Altoona, PA",msa,PA,2000-02-29,87051.30031908257
1243,395225,359,"Williamsport, PA",msa,PA,2000-02-29,100134.67308595932
1266,394630,382,"Gettysburg, PA",msa,PA,2000-02-29,100495.00123734694
1313,394847,431,"Meadville, PA",msa,PA,2000-02-29,57948.07889293919
1321,394395,439,"Bloomsburg, PA",msa,PA,2000-02-29,105143.1771456516
1332,394541,450,"DuBois, PA",msa,PA,2000-02-29,55525.29847458397
1474,394933,597,"Oil City, PA",msa,PA,2000-02-29,48623.14478517151
1797,394974,7,"Philadelphia, PA",msa,PA,2000-03-31,121926.24870158103
1817,394982,27,"Pittsburgh, PA",msa,PA,2000-03-31,85350.22809388077
1859,394318,70,"Allentown, PA",msa,PA,2000-03-31,116434.62238522766
1886,394666,99,"Harrisburg, PA",msa,PA,2000-03-31,116368.92556994008
1888,395075,101,"Scranton, PA",msa,PA,2000-03-31,85342.3964345484
1909,395244,122,"York, PA",msa,PA,2000-03-31,118042.89417234156
1915,395015,128,"Reading, PA",msa,PA,2000-03-31,103926.88978646247
1970,394572,184,"Erie, PA",msa,PA,2000-03-31,87837.08097866415
2120,394321,340,"Altoona, PA",msa,PA,2000-03-31,87166.33144197696
2138,395225,359,"Williamsport, PA",msa,PA,2000-03-31,100378.46991964016
2161,394630,382,"Gettysburg, PA",msa,PA,2000-03-31,100657.6241199794
2208,394847,431,"Meadville, PA",msa,PA,2000-03-31,58279.29541334719
2216,394395,439,"Bloomsburg, PA",msa,PA,2000-03-31,105316.30665494756
2227,394541,450,"DuBois, PA",msa,PA,2000-03-31,55575.69386024159
2369,394933,597,"Oil City, PA",msa,PA,2000-03-31,48772.19456970784
2692,394974,7,"Philadelphia, PA",msa,PA,2000-04-30,122380.91745974075
